,id,progress,mode,fontsize,color,midHash,content,ctime,weight,pool,idStr,date,time
229,1673415057398158592,3787,1,25,16777215,9acb77ad,已投,1726577820,5,3,1673415057398158592,2024-09-17,12:57:00
230,1673383611753291264,1029000,1,25,16777215,293526b8,5,1726574071,5,3,1673383611753291264,2024-09-17,11:54:31
231,1673383454408107520,5785,1,25,16777215,293526b8,已投,1726574052,5,3,1673383454408107520,2024-09-17,11:54:12
232,1692448432872228608,4415,1,25,16777215,c8242e63,已投,1728846775,5,3,1692448432872228608,2024-10-13,19:12:55
233,1686053150190117120,6382,1,25,16777215,7ce4c7d9,还没,1728084398,5,3,1686053150190117120,2024-10-04,23:26:38
234,1674816196811391232,3578,1,25,16777215,5e80b945,还没,1726744848,5,3,1674816196811391232,2024-09-19,11:20:48
235,1674184116330958848,1029922,1,25,16777215,9aa9c528,5,1726669499,5,3,1674184116330958848,2024-09-18,14:24:59
236,1673415057398158592,3787,1,25,16777215,9acb77ad,已投,1726577820,5,3,1673415057398158592,2024-09-17,12:57:00
237,1673383611753291264,1029000,1,25,16777215,293526b8,5,1726574071,5,3,1673383611753291264,2024-09-17,11:54:31
238,1673383454408107520,5785,1,25,16777215,293526b8,已投,1726574052,5,3,1673383454408107520,2024-09-17,11:54:12
239,1692448432872228608,4415,1,25,16777215,c8242e63,已投,1728846775,5,3,1692448432872228608,2024-10-13,19:12:55
240,1686053150190117120,6382,1,25,16777215,7ce4c7d9,还没,1728084398,5,3,1686053150190117120,2024-10-04,23:26:38
241,1674816196811391232,3578,1,25,16777215,5e80b945,还没,1726744848,5,3,1674816196811391232,2024-09-19,11:20:48
242,1674184116330958848,1029922,1,25,16777215,9aa9c528,5,1726669499,5,3,1674184116330958848,2024-09-18,14:24:59
243,1673415057398158592,3787,1,25,16777215,9acb77ad,已投,1726577820,5,3,1673415057398158592,2024-09-17,12:57:00
244,1673383611753291264,1029000,1,25,16777215,293526b8,5,1726574071,5,3,1673383611753291264,2024-09-17,11:54:31
245,1673383454408107520,5785,1,25,16777215,293526b8,已投,1726574052,5,3,1673383454408107520,2024-09-17,11:54:12
246,1692448432872228608,4415,1,25,16777215,c8242e63,已投,1728846775,5,3,1692448432872228608,2024-10-13,19:12:55
247,1686053150190117120,6382,1,25,16777215,7ce4c7d9,还没,1728084398,5,3,1686053150190117120,2024-10-04,23:26:38
248,1674816196811391232,3578,1,25,16777215,5e80b945,还没,1726744848,5,3,1674816196811391232,2024-09-19,11:20:48
249,1674184116330958848,1029922,1,25,16777215,9aa9c528,5,1726669499,5,3,1674184116330958848,2024-09-18,14:24:59
250,1673415057398158592,3787,1,25,16777215,9acb77ad,已投,1726577820,5,3,1673415057398158592,2024-09-17,12:57:00
251,1673383611753291264,1029000,1,25,16777215,293526b8,5,1726574071,5,3,1673383611753291264,2024-09-17,11:54:31
252,1673383454408107520,5785,1,25,16777215,293526b8,已投,1726574052,5,3,1673383454408107520,2024-09-17,11:54:12
253,1692448432872228608,4415,1,25,16777215,c8242e63,已投,1728846775,5,3,1692448432872228608,2024-10-13,19:12:55
254,1686053150190117120,6382,1,25,16777215,7ce4c7d9,还没,1728084398,5,3,1686053150190117120,2024-10-04,23:26:38
255,1674816196811391232,3578,1,25,16777215,5e80b945,还没,1726744848,5,3,1674816196811391232,2024-09-19,11:20:48
256,1674184116330958848,1029922,1,25,16777215,9aa9c528,5,1726669499,5,3,1674184116330958848,2024-09-18,14:24:59
257,1673415057398158592,3787,1,25,16777215,9acb77ad,已投,1726577820,5,3,1673415057398158592,2024-09-17,12:57:00
258,1673383611753291264,1029000,1,25,16777215,293526b8,5,1726574071,5,3,1673383611753291264,2024-09-17,11:54:31
259,1673383454408107520,5785,1,25,16777215,293526b8,已投,1726574052,5,3,1673383454408107520,2024-09-17,11:54:12
260,1692448432872228608,4415,1,25,16777215,c8242e63,已投,1728846775,5,3,1692448432872228608,2024-10-13,19:12:55
261,1686053150190117120,6382,1,25,16777215,7ce4c7d9,还没,1728084398,5,3,1686053150190117120,2024-10-04,23:26:38
262,1674816196811391232,3578,1,25,16777215,5e80b945,还没,1726744848,5,3,1674816196811391232,2024-09-19,11:20:48
263,1674184116330958848,1029922,1,25,16777215,9aa9c528,5,1726669499,5,3,1674184116330958848,2024-09-18,14:24:59
264,1673415057398158592,3787,1,25,16777215,9acb77ad,已投,1726577820,5,3,1673415057398158592,2024-09-17,12:57:00
265,1673383611753291264,1029000,1,25,16777215,293526b8,5,1726574071,5,3,1673383611753291264,2024-09-17,11:54:31
